PaymentMethod,MonthlyCharges,InternetService,DeviceProtection,OnlineSecurity
Bank transfer (automatic),23.75,No,No internet service,No internet service
Bank transfer (automatic),80.6,Fiber optic,No,No
Bank transfer (automatic),43.8,DSL,No,No
Bank transfer (automatic),19.75,No,No internet service,No internet service
Mailed check,19.15,No,No internet service,No internet service
Credit card (automatic),19.6,No,No internet service,No internet service
Bank transfer (automatic),80.3,Fiber optic,Yes,Yes
Credit card (automatic),24.35,No,No internet service,No internet service
Credit card (automatic),25.25,No,No internet service,No internet service
Credit card (automatic),26.1,No,No internet service,No internet service
Credit card (automatic),20.0,No,No internet service,No internet service
Credit card (automatic),85.3,Fiber optic,No,No
Credit card (automatic),70.0,Fiber optic,No,No
Electronic check,94.3,Fiber optic,No,No
Bank transfer (automatic),20.7,No,No internet service,No internet service
Electronic check,70.3,DSL,No,No
Electronic check,95.35,Fiber optic,Yes,No
Electronic check,75.5,Fiber optic,No,No
Mailed check,69.55,Fiber optic,No,No
Mailed check,19.85,No,No internet service,No internet service
Mailed check,20.0,No,No internet service,No internet service
Credit card (automatic),95.85,Fiber optic,No,No
Electronic check,90.1,Fiber optic,No,No
Electronic check,68.95,Fiber optic,No,No
Credit card (automatic),99.55,Fiber optic,No,Yes
Electronic check,20.75,No,No internet service,No internet service
Mailed check,50.15,DSL,No,Yes
Mailed check,58.65,DSL,No,Yes
Bank transfer (automatic),95.9,Fiber optic,No,No
Electronic check,49.5,DSL,No,No
Electronic check,57.45,DSL,Yes,No
Credit card (automatic),53.65,DSL,No,No
Mailed check,80.1,DSL,Yes,Yes
Bank transfer (automatic),24.4,No,No internet service,No internet service
Electronic check,40.05,DSL,No,No
Mailed check,19.5,No,No internet service,No internet service
Credit card (automatic),51.05,DSL,No,Yes
Mailed check,54.35,DSL,No,Yes
Electronic check,84.7,Fiber optic,No,No
Electronic check,86.1,Fiber optic,Yes,No
Mailed check,70.35,Fiber optic,No,No
Bank transfer (automatic),110.0,Fiber optic,Yes,Yes
Electronic check,100.6,Fiber optic,Yes,No
Credit card (automatic),94.9,Fiber optic,Yes,Yes
Electronic check,83.75,Fiber optic,No,No
Mailed check,88.3,Fiber optic,No,Yes
Bank transfer (automatic),69.75,Fiber optic,No,No
Bank transfer (automatic),71.6,DSL,No,No
Electronic check,92.1,Fiber optic,Yes,No
Bank transfer (automatic),23.65,No,No internet service,No internet service
Bank transfer (automatic),81.85,DSL,Yes,Yes
Mailed check,25.1,No,No internet service,No internet service
Bank transfer (automatic),114.7,Fiber optic,Yes,Yes
Electronic check,49.15,DSL,Yes,No
Electronic check,80.9,Fiber optic,No,No
Electronic check,79.45,Fiber optic,No,Yes
Credit card (automatic),90.45,Fiber optic,No,No
Bank transfer (automatic),19.3,No,No internet service,No internet service
Electronic check,70.2,Fiber optic,No,No
Bank transfer (automatic),69.75,Fiber optic,No,No
Bank transfer (automatic),54.25,DSL,No,Yes
Bank transfer (automatic),99.3,Fiber optic,Yes,No
Credit card (automatic),74.0,DSL,Yes,Yes
Mailed check,50.25,DSL,No,No
Mailed check,19.8,No,No internet service,No internet service
Mailed check,19.65,No,No internet service,No internet service
Electronic check,43.65,DSL,Yes,No
Credit card (automatic),35.5,DSL,No,No
Mailed check,80.75,DSL,Yes,No
Electronic check,39.5,DSL,Yes,No
Bank transfer (automatic),97.1,Fiber optic,No,No
Mailed check,19.55,No,No internet service,No internet service
Electronic check,80.0,Fiber optic,No,No
Mailed check,84.7,Fiber optic,No,Yes
Bank transfer (automatic),89.55,Fiber optic,No,No
Electronic check,90.6,Fiber optic,No,No
Bank transfer (automatic),20.05,No,No internet service,No internet service
Electronic check,112.4,Fiber optic,Yes,Yes
Bank transfer (automatic),50.2,DSL,No,No
Bank transfer (automatic),62.25,DSL,No,Yes
Mailed check,55.7,DSL,No,Yes
Bank transfer (automatic),90.05,Fiber optic,No,Yes
Mailed check,19.65,No,No internet service,No internet service
Electronic check,89.25,Fiber optic,No,Yes
Bank transfer (automatic),99.05,Fiber optic,No,No
Mailed check,54.0,DSL,No,Yes
Bank transfer (automatic),69.75,Fiber optic,No,No
Credit card (automatic),49.05,DSL,No,No
Bank transfer (automatic),56.75,DSL,Yes,No
Bank transfer (automatic),98.05,Fiber optic,Yes,No
Mailed check,21.1,No,No internet service,No internet service
Bank transfer (automatic),96.65,Fiber optic,No,No
Credit card (automatic),24.5,No,No internet service,No internet service
Bank transfer (automatic),114.5,Fiber optic,Yes,Yes
Credit card (automatic),79.2,Fiber optic,No,No
Electronic check,69.55,Fiber optic,No,No
Bank transfer (automatic),20.05,No,No internet service,No internet service
Electronic check,98.85,Fiber optic,Yes,No
Mailed check,25.75,No,No internet service,No internet service
Electronic check,80.95,Fiber optic,No,No
Credit card (automatic),19.6,No,No internet service,No internet service
Electronic check,74.3,Fiber optic,Yes,No
Bank transfer (automatic),89.7,Fiber optic,No,No
Bank transfer (automatic),87.65,Fiber optic,No,Yes
Credit card (automatic),100.45,Fiber optic,Yes,No
Credit card (automatic),74.75,Fiber optic,No,No
Bank transfer (automatic),107.45,Fiber optic,Yes,Yes
Bank transfer (automatic),75.35,DSL,Yes,No
Credit card (automatic),64.95,DSL,Yes,Yes
Electronic check,100.45,Fiber optic,Yes,Yes
Bank transfer (automatic),68.5,DSL,Yes,No
Electronic check,80.55,Fiber optic,No,No
Bank transfer (automatic),81.25,DSL,Yes,Yes
Electronic check,90.4,Fiber optic,No,No
Electronic check,89.55,Fiber optic,No,Yes
Mailed check,55.7,DSL,No,No
Electronic check,24.8,No,No internet service,No internet service
Electronic check,20.0,No,No internet service,No internet service
Mailed check,56.15,DSL,Yes,No
Electronic check,105.2,Fiber optic,No,No
Mailed check,19.55,No,No internet service,No internet service
Electronic check,79.75,Fiber optic,No,No
Bank transfer (automatic),97.45,Fiber optic,No,No
Bank transfer (automatic),24.25,No,No internet service,No internet service
Credit card (automatic),24.6,No,No internet service,No internet service
Mailed check,50.15,DSL,No,No
Bank transfer (automatic),39.6,DSL,Yes,Yes
Bank transfer (automatic),94.4,Fiber optic,Yes,Yes
Mailed check,89.85,DSL,Yes,Yes
Credit card (automatic),78.95,Fiber optic,Yes,No
Credit card (automatic),98.85,Fiber optic,No,No
Credit card (automatic),53.85,DSL,No,No
Electronic check,24.25,No,No internet service,No internet service
Credit card (automatic),89.45,Fiber optic,Yes,No
Credit card (automatic),105.25,Fiber optic,No,Yes
Bank transfer (automatic),59.5,DSL,Yes,Yes
Credit card (automatic),70.55,Fiber optic,No,No
Credit card (automatic),82.5,DSL,Yes,Yes
Credit card (automatic),44.85,DSL,No,No
Bank transfer (automatic),61.6,DSL,Yes,Yes
Bank transfer (automatic),49.05,DSL,No,No
Electronic check,105.65,Fiber optic,Yes,No
Mailed check,74.65,Fiber optic,Yes,No
Mailed check,66.25,DSL,Yes,Yes
Electronic check,19.4,No,No internet service,No internet service
Credit card (automatic),86.05,Fiber optic,No,No
Credit card (automatic),19.15,No,No internet service,No internet service
Bank transfer (automatic),64.7,DSL,No,Yes
Bank transfer (automatic),104.05,Fiber optic,Yes,No
Mailed check,19.25,No,No internet service,No internet service
Electronic check,81.95,Fiber optic,No,Yes
Bank transfer (automatic),114.65,Fiber optic,Yes,Yes
Credit card (automatic),20.0,No,No internet service,No internet service
Mailed check,19.8,No,No internet service,No internet service
Bank transfer (automatic),65.15,DSL,No,Yes
Mailed check,19.65,No,No internet service,No internet service
Credit card (automatic),88.95,DSL,Yes,Yes
Mailed check,20.2,No,No internet service,No internet service
Credit card (automatic),75.2,Fiber optic,No,No
Credit card (automatic),56.8,DSL,No,No
Electronic check,35.55,DSL,No,No
Bank transfer (automatic),75.5,Fiber optic,No,Yes
Mailed check,35.6,DSL,No,Yes
Electronic check,60.25,DSL,No,No
Electronic check,95.15,Fiber optic,No,No
Mailed check,96.65,Fiber optic,Yes,No
Electronic check,40.35,DSL,No,No
Electronic check,18.85,No,No internet service,No internet service
Mailed check,54.85,DSL,No,No
Mailed check,64.3,DSL,Yes,Yes
Bank transfer (automatic),24.65,No,No internet service,No internet service
Credit card (automatic),76.1,DSL,Yes,No
Mailed check,18.7,No,No internet service,No internet service
Credit card (automatic),97.95,Fiber optic,Yes,No
Credit card (automatic),94.1,Fiber optic,No,Yes
Electronic check,80.4,Fiber optic,No,No
Electronic check,95.1,Fiber optic,No,Yes
Mailed check,31.35,DSL,No,No
Bank transfer (automatic),72.35,DSL,Yes,Yes
Bank transfer (automatic),89.75,Fiber optic,No,No
Bank transfer (automatic),82.7,DSL,Yes,Yes
Credit card (automatic),19.9,No,No internet service,No internet service
Electronic check,53.8,DSL,No,Yes
Credit card (automatic),51.55,DSL,No,No
Mailed check,19.65,No,No internet service,No internet service
Credit card (automatic),44.05,DSL,Yes,No
Electronic check,114.0,Fiber optic,Yes,Yes
Electronic check,94.4,Fiber optic,No,No
Electronic check,100.4,Fiber optic,No,No
Electronic check,19.85,No,No internet service,No internet service
Mailed check,54.25,DSL,No,No
Credit card (automatic),80.0,Fiber optic,No,Yes
Credit card (automatic),109.9,Fiber optic,Yes,No
Mailed check,79.2,DSL,Yes,Yes
Electronic check,101.35,Fiber optic,Yes,No
Electronic check,94.3,Fiber optic,No,No
Bank transfer (automatic),49.8,DSL,No,No
Bank transfer (automatic),60.05,DSL,Yes,No
Electronic check,53.75,DSL,Yes,Yes
Electronic check,93.45,Fiber optic,No,No
Mailed check,87.9,Fiber optic,Yes,Yes
Electronic check,60.15,DSL,No,No
Bank transfer (automatic),61.05,DSL,No,Yes
Bank transfer (automatic),104.05,Fiber optic,Yes,No
Electronic check,99.25,Fiber optic,Yes,No
Credit card (automatic),85.7,Fiber optic,Yes,No
Electronic check,104.85,Fiber optic,No,Yes
Credit card (automatic),69.15,DSL,Yes,Yes
Electronic check,90.45,Fiber optic,Yes,No
Mailed check,74.45,DSL,Yes,No
Electronic check,50.45,DSL,No,No
Electronic check,60.0,DSL,No,No
Electronic check,85.25,DSL,No,Yes
Credit card (automatic),19.45,No,No internet service,No internet service
Bank transfer (automatic),20.75,No,No internet service,No internet service
Electronic check,78.9,Fiber optic,No,Yes
Credit card (automatic),104.5,Fiber optic,No,No
Electronic check,49.4,DSL,No,No
Bank transfer (automatic),94.25,Fiber optic,No,No
Mailed check,25.0,No,No internet service,No internet service
Credit card (automatic),25.55,DSL,No,No
Electronic check,74.9,Fiber optic,No,No
Electronic check,70.15,Fiber optic,No,No
Credit card (automatic),69.4,DSL,No,No
Electronic check,80.25,Fiber optic,No,No
Electronic check,93.15,Fiber optic,Yes,Yes
Electronic check,69.0,Fiber optic,No,No
Electronic check,66.35,DSL,No,No
Electronic check,69.55,Fiber optic,No,No
Bank transfer (automatic),20.2,No,No internet service,No internet service
Bank transfer (automatic),86.0,Fiber optic,No,No
Electronic check,80.3,Fiber optic,No,No
Credit card (automatic),20.4,No,No internet service,No internet service
Credit card (automatic),23.75,No,No internet service,No internet service
Credit card (automatic),90.55,Fiber optic,No,No
Credit card (automatic),70.45,DSL,No,No
Bank transfer (automatic),65.75,DSL,No,Yes
Mailed check,24.6,DSL,No,No
Mailed check,69.25,DSL,Yes,Yes
Electronic check,75.9,Fiber optic,No,No
Mailed check,45.85,DSL,No,No
Electronic check,49.95,DSL,No,No
Bank transfer (automatic),24.65,No,No internet service,No internet service
Bank transfer (automatic),90.4,Fiber optic,Yes,Yes
Mailed check,100.85,Fiber optic,No,Yes
Credit card (automatic),75.35,DSL,Yes,Yes
Electronic check,87.2,Fiber optic,No,No
Credit card (automatic),64.4,DSL,Yes,Yes
Electronic check,78.3,Fiber optic,No,No
Bank transfer (automatic),24.7,No,No internet service,No internet service
Electronic check,105.85,Fiber optic,No,Yes
Mailed check,98.3,Fiber optic,Yes,No
Electronic check,76.95,Fiber optic,No,No
Mailed check,19.45,No,No internet service,No internet service
Electronic check,96.15,Fiber optic,No,No
Credit card (automatic),58.7,DSL,No,No
Mailed check,20.15,No,No internet service,No internet service
Mailed check,64.5,DSL,No,Yes
Electronic check,28.5,DSL,No,Yes
Electronic check,45.3,DSL,No,No
Bank transfer (automatic),19.4,No,No internet service,No internet service
Electronic check,90.45,Fiber optic,No,No
Electronic check,105.15,Fiber optic,No,Yes
Bank transfer (automatic),83.15,Fiber optic,Yes,No
Electronic check,90.15,Fiber optic,No,No
Mailed check,45.05,DSL,No,No
Bank transfer (automatic),103.2,Fiber optic,Yes,No
Electronic check,75.8,Fiber optic,No,No
Electronic check,19.45,No,No internet service,No internet service
Electronic check,79.3,Fiber optic,No,No
Credit card (automatic),88.8,Fiber optic,Yes,No
Electronic check,30.9,DSL,No,No
Credit card (automatic),85.9,DSL,Yes,Yes
Electronic check,34.2,DSL,No,No
Mailed check,20.15,No,No internet service,No internet service
Credit card (automatic),95.25,Fiber optic,No,No
Mailed check,50.3,DSL,No,No
Electronic check,80.15,Fiber optic,No,Yes
Electronic check,51.25,DSL,No,No
Bank transfer (automatic),89.6,Fiber optic,No,No
Credit card (automatic),95.2,Fiber optic,No,No
Credit card (automatic),94.8,Fiber optic,No,Yes
Electronic check,80.25,Fiber optic,No,Yes
Bank transfer (automatic),76.1,DSL,Yes,No
Electronic check,110.15,Fiber optic,Yes,Yes
Bank transfer (automatic),115.55,Fiber optic,Yes,Yes
Credit card (automatic),24.65,No,No internet service,No internet service
Electronic check,53.6,DSL,Yes,Yes
Mailed check,19.45,No,No internet service,No internet service
Electronic check,88.2,Fiber optic,Yes,Yes
Bank transfer (automatic),101.15,Fiber optic,No,Yes
Mailed check,56.8,DSL,No,Yes
Electronic check,99.4,Fiber optic,Yes,Yes
Credit card (automatic),20.1,No,No internet service,No internet service
Credit card (automatic),60.7,DSL,Yes,Yes
Bank transfer (automatic),20.95,No,No internet service,No internet service
Bank transfer (automatic),114.85,Fiber optic,Yes,Yes
Bank transfer (automatic),19.25,No,No internet service,No internet service
Mailed check,62.8,DSL,No,No
Electronic check,105.5,Fiber optic,Yes,Yes
Mailed check,19.85,No,No internet service,No internet service
Electronic check,89.5,Fiber optic,No,No
Credit card (automatic),74.1,DSL,Yes,No
Electronic check,107.5,Fiber optic,Yes,No
Mailed check,19.55,No,No internet service,No internet service
Bank transfer (automatic),68.8,DSL,Yes,Yes
Credit card (automatic),84.45,DSL,Yes,Yes
Electronic check,75.0,Fiber optic,No,Yes
Bank transfer (automatic),84.5,DSL,Yes,No
Bank transfer (automatic),111.2,Fiber optic,Yes,No
Electronic check,44.75,DSL,No,No
Bank transfer (automatic),80.6,DSL,No,Yes
Bank transfer (automatic),80.7,Fiber optic,No,No
Electronic check,75.6,Fiber optic,No,No
Electronic check,57.6,DSL,Yes,Yes
Electronic check,44.05,DSL,No,No
Credit card (automatic),110.6,Fiber optic,Yes,No
Credit card (automatic),58.2,DSL,No,Yes
Mailed check,81.0,DSL,Yes,Yes
Bank transfer (automatic),19.7,No,No internet service,No internet service
Bank transfer (automatic),85.6,Fiber optic,No,No
Bank transfer (automatic),59.55,DSL,Yes,No
Credit card (automatic),115.55,Fiber optic,Yes,Yes
Mailed check,75.55,DSL,Yes,Yes
Electronic check,86.6,Fiber optic,No,No
Electronic check,85.2,Fiber optic,No,No
Electronic check,97.65,Fiber optic,No,No
Credit card (automatic),45.1,DSL,Yes,No
Bank transfer (automatic),70.95,DSL,No,Yes
Electronic check,109.55,Fiber optic,Yes,No
Electronic check,89.55,Fiber optic,Yes,No
Credit card (automatic),20.9,No,No internet service,No internet service
Mailed check,19.95,No,No internet service,No internet service
Mailed check,24.6,No,No internet service,No internet service
Electronic check,66.7,DSL,Yes,Yes
Mailed check,19.45,No,No internet service,No internet service
Mailed check,94.8,Fiber optic,Yes,Yes
Bank transfer (automatic),65.85,DSL,Yes,Yes
Bank transfer (automatic),19.95,No,No internet service,No internet service
Bank transfer (automatic),24.65,No,No internet service,No internet service
Mailed check,20.35,No,No internet service,No internet service
Electronic check,69.25,Fiber optic,No,No
Bank transfer (automatic),51.25,DSL,No,Yes
Bank transfer (automatic),99.5,Fiber optic,Yes,No
Electronic check,54.25,DSL,Yes,No
Bank transfer (automatic),19.4,No,No internet service,No internet service
Credit card (automatic),56.25,DSL,No,Yes
Mailed check,25.15,DSL,No,No
Bank transfer (automatic),23.95,No,No internet service,No internet service
Mailed check,35.4,DSL,No,Yes
Electronic check,25.2,DSL,No,No
Mailed check,45.0,DSL,No,No
Bank transfer (automatic),75.35,Fiber optic,No,No
Bank transfer (automatic),20.4,No,No internet service,No internet service
Mailed check,20.15,No,No internet service,No internet service
Credit card (automatic),105.0,Fiber optic,Yes,No
Credit card (automatic),56.05,DSL,Yes,Yes
Credit card (automatic),54.7,DSL,No,No
Mailed check,20.0,No,No internet service,No internet service
Credit card (automatic),73.05,DSL,Yes,Yes
Mailed check,20.5,No,No internet service,No internet service
Credit card (automatic),100.75,Fiber optic,Yes,No
Electronic check,87.25,Fiber optic,Yes,No
Mailed check,19.95,No,No internet service,No internet service
Electronic check,79.95,Fiber optic,No,No
Electronic check,49.65,DSL,No,No
Mailed check,65.65,DSL,Yes,Yes
Electronic check,20.45,No,No internet service,No internet service
Bank transfer (automatic),60.95,DSL,Yes,Yes
Electronic check,20.35,No,No internet service,No internet service
Electronic check,88.35,Fiber optic,No,No
Electronic check,19.5,No,No internet service,No internet service
Credit card (automatic),75.2,Fiber optic,No,No
Bank transfer (automatic),111.45,Fiber optic,Yes,Yes
Mailed check,70.15,Fiber optic,No,No
Electronic check,94.75,Fiber optic,No,No
Electronic check,95.05,Fiber optic,No,No
Electronic check,78.45,Fiber optic,No,No
Electronic check,70.2,Fiber optic,No,No
Bank transfer (automatic),92.0,DSL,Yes,Yes
Credit card (automatic),85.5,DSL,Yes,Yes
Bank transfer (automatic),41.05,DSL,No,No
Electronic check,85.6,Fiber optic,No,No
Electronic check,82.15,Fiber optic,No,No
Electronic check,84.4,Fiber optic,Yes,Yes
Mailed check,60.9,DSL,No,Yes
Bank transfer (automatic),20.25,No,No internet service,No internet service
Electronic check,79.2,Fiber optic,No,No
Mailed check,95.3,Fiber optic,No,No
Mailed check,19.85,No,No internet service,No internet service
Mailed check,84.35,DSL,Yes,Yes
Bank transfer (automatic),19.85,No,No internet service,No internet service
Mailed check,70.0,DSL,Yes,No
Bank transfer (automatic),82.3,DSL,Yes,Yes
Bank transfer (automatic),66.8,DSL,No,No
Bank transfer (automatic),44.6,DSL,Yes,Yes
Bank transfer (automatic),98.45,Fiber optic,No,No
Mailed check,70.7,Fiber optic,No,No
Mailed check,24.95,No,No internet service,No internet service
Bank transfer (automatic),49.95,DSL,No,No
Electronic check,69.25,Fiber optic,No,No
Credit card (automatic),102.5,Fiber optic,Yes,Yes
Credit card (automatic),86.55,DSL,Yes,No
Bank transfer (automatic),24.3,No,No internet service,No internet service
Credit card (automatic),58.35,DSL,Yes,No
Electronic check,94.25,Fiber optic,Yes,No
Credit card (automatic),68.75,DSL,Yes,Yes
Electronic check,85.8,Fiber optic,Yes,No
Credit card (automatic),20.1,No,No internet service,No internet service
Mailed check,20.35,No,No internet service,No internet service
Electronic check,110.8,Fiber optic,Yes,No
Electronic check,73.0,DSL,Yes,No
Credit card (automatic),100.05,Fiber optic,Yes,No
Credit card (automatic),82.85,Fiber optic,Yes,No
Electronic check,84.35,Fiber optic,No,Yes
Mailed check,19.55,No,No internet service,No internet service
Mailed check,19.95,No,No internet service,No internet service
Credit card (automatic),99.8,Fiber optic,Yes,No
Electronic check,35.0,DSL,No,No
Electronic check,66.25,DSL,No,No
Bank transfer (automatic),23.3,No,No internet service,No internet service
Electronic check,76.0,Fiber optic,No,No
Credit card (automatic),25.3,No,No internet service,No internet service
Mailed check,44.55,DSL,No,Yes
Credit card (automatic),104.1,Fiber optic,Yes,Yes
Bank transfer (automatic),92.55,Fiber optic,Yes,No
Electronic check,93.85,Fiber optic,No,No
Bank transfer (automatic),101.45,Fiber optic,Yes,No
Electronic check,84.3,Fiber optic,Yes,No
Credit card (automatic),94.55,Fiber optic,Yes,Yes
Electronic check,95.5,Fiber optic,Yes,No
Credit card (automatic),100.3,Fiber optic,No,Yes
Credit card (automatic),55.5,DSL,Yes,No
Credit card (automatic),49.85,DSL,No,No
Bank transfer (automatic),89.55,Fiber optic,No,No
Mailed check,19.15,No,No internet service,No internet service
Electronic check,99.8,Fiber optic,No,No
Credit card (automatic),84.4,Fiber optic,No,No
Credit card (automatic),113.05,Fiber optic,Yes,Yes
Electronic check,101.1,Fiber optic,Yes,No
Mailed check,19.95,No,No internet service,No internet service
Electronic check,74.15,DSL,Yes,No
Electronic check,92.0,Fiber optic,Yes,Yes
Electronic check,73.85,Fiber optic,Yes,No
Electronic check,50.45,DSL,No,No
Mailed check,24.45,No,No internet service,No internet service
Credit card (automatic),24.8,No,No internet service,No internet service
Bank transfer (automatic),64.85,DSL,No,No
Bank transfer (automatic),20.75,No,No internet service,No internet service
Mailed check,68.95,DSL,No,Yes
Mailed check,99.95,Fiber optic,No,No
Credit card (automatic),109.4,Fiber optic,Yes,Yes
Electronic check,91.4,Fiber optic,Yes,No
Mailed check,49.0,DSL,No,No
Mailed check,50.25,DSL,Yes,No
Credit card (automatic),75.55,Fiber optic,Yes,No
Credit card (automatic),19.9,No,No internet service,No internet service
Bank transfer (automatic),97.8,Fiber optic,No,No
Electronic check,100.3,Fiber optic,Yes,Yes
Mailed check,55.8,DSL,Yes,No
Electronic check,111.15,Fiber optic,Yes,Yes
Mailed check,98.55,Fiber optic,No,No
Electronic check,50.05,DSL,No,No
Credit card (automatic),80.8,Fiber optic,No,No
Electronic check,20.85,No,No internet service,No internet service
Bank transfer (automatic),19.5,No,No internet service,No internet service
Mailed check,19.35,No,No internet service,No internet service
Mailed check,69.5,DSL,Yes,Yes
Credit card (automatic),48.8,DSL,No,Yes
Electronic check,94.5,Fiber optic,No,No
Mailed check,20.65,No,No internet service,No internet service
Credit card (automatic),106.05,Fiber optic,Yes,Yes
Electronic check,100.0,Fiber optic,No,No
Electronic check,108.3,Fiber optic,Yes,No
Electronic check,20.55,No,No internet service,No internet service
Electronic check,99.65,Fiber optic,Yes,No
Electronic check,85.3,Fiber optic,Yes,No
Credit card (automatic),95.9,Fiber optic,No,Yes
Mailed check,20.0,No,No internet service,No internet service
Electronic check,70.4,Fiber optic,No,No
Mailed check,64.95,DSL,No,Yes
Credit card (automatic),74.6,Fiber optic,No,No
Electronic check,49.2,DSL,No,Yes
Mailed check,73.75,DSL,No,No
Bank transfer (automatic),92.3,Fiber optic,No,Yes
Bank transfer (automatic),98.8,Fiber optic,No,No
Mailed check,19.2,No,No internet service,No internet service
Credit card (automatic),88.65,Fiber optic,Yes,No
Credit card (automatic),74.4,Fiber optic,No,No
Electronic check,98.75,Fiber optic,Yes,No
Bank transfer (automatic),95.95,Fiber optic,Yes,No
Credit card (automatic),105.4,Fiber optic,No,No
Mailed check,20.25,No,No internet service,No internet service
Electronic check,106.0,Fiber optic,No,Yes
Electronic check,104.7,Fiber optic,Yes,No
Electronic check,49.05,DSL,Yes,No
Mailed check,35.55,DSL,Yes,No
Credit card (automatic),65.1,DSL,Yes,Yes
Electronic check,96.85,Fiber optic,Yes,No
Credit card (automatic),69.75,DSL,No,Yes
Electronic check,99.2,Fiber optic,Yes,No
Electronic check,96.7,Fiber optic,No,No
Credit card (automatic),55.05,DSL,No,No
Electronic check,106.8,Fiber optic,Yes,No
Mailed check,51.25,DSL,No,Yes
Mailed check,57.75,DSL,No,Yes
Bank transfer (automatic),70.85,DSL,Yes,No
Mailed check,19.55,No,No internet service,No internet service
Electronic check,88.2,Fiber optic,No,No
Bank transfer (automatic),79.5,Fiber optic,Yes,Yes
Mailed check,19.75,No,No internet service,No internet service
Bank transfer (automatic),98.15,Fiber optic,Yes,Yes
Electronic check,20.25,No,No internet service,No internet service
Bank transfer (automatic),79.15,Fiber optic,No,Yes
Electronic check,75.65,Fiber optic,No,No
Electronic check,94.25,Fiber optic,Yes,No
Credit card (automatic),40.2,DSL,Yes,No
Mailed check,19.95,No,No internet service,No internet service
Electronic check,55.35,DSL,No,Yes
Bank transfer (automatic),102.15,Fiber optic,Yes,No
Electronic check,71.1,Fiber optic,No,No
Electronic check,74.7,Fiber optic,No,No
Bank transfer (automatic),54.1,DSL,Yes,Yes
Credit card (automatic),19.65,No,No internet service,No internet service
Bank transfer (automatic),88.45,Fiber optic,Yes,No
Electronic check,76.65,Fiber optic,Yes,No
Credit card (automatic),80.4,DSL,Yes,Yes
Bank transfer (automatic),19.25,No,No internet service,No internet service
Electronic check,84.8,Fiber optic,No,No
Mailed check,25.8,DSL,No,No
Credit card (automatic),19.5,No,No internet service,No internet service
Electronic check,68.6,DSL,Yes,No
Electronic check,92.6,Fiber optic,No,No
Electronic check,100.55,Fiber optic,No,Yes
Credit card (automatic),20.55,No,No internet service,No internet service
Electronic check,42.6,DSL,No,Yes
Mailed check,19.6,No,No internet service,No internet service
Electronic check,67.45,DSL,Yes,Yes
Bank transfer (automatic),68.85,DSL,Yes,Yes
Mailed check,43.55,DSL,No,No
Credit card (automatic),109.85,Fiber optic,Yes,No
Mailed check,20.65,No,No internet service,No internet service
Electronic check,95.4,Fiber optic,No,No
Bank transfer (automatic),21.0,No,No internet service,No internet service
Electronic check,56.2,DSL,No,No
Bank transfer (automatic),18.4,No,No internet service,No internet service
Credit card (automatic),90.0,Fiber optic,Yes,No
Electronic check,25.75,No,No internet service,No internet service
Credit card (automatic),19.6,No,No internet service,No internet service
Electronic check,75.35,Fiber optic,Yes,No
Credit card (automatic),19.8,No,No internet service,No internet service
Electronic check,64.2,DSL,No,Yes
Bank transfer (automatic),75.75,DSL,Yes,Yes
Electronic check,78.95,DSL,No,No
Electronic check,100.85,Fiber optic,No,No
Electronic check,50.3,DSL,No,Yes
Credit card (automatic),80.3,Fiber optic,Yes,No
Bank transfer (automatic),19.85,No,No internet service,No internet service
Electronic check,21.1,No,No internet service,No internet service
Electronic check,69.95,Fiber optic,No,No
Mailed check,50.0,DSL,Yes,No
Bank transfer (automatic),104.75,Fiber optic,Yes,No
Bank transfer (automatic),19.85,No,No internet service,No internet service
Electronic check,107.5,Fiber optic,Yes,No
Electronic check,85.9,Fiber optic,No,No
Mailed check,45.85,DSL,No,No
Electronic check,80.8,Fiber optic,Yes,No
Mailed check,25.25,No,No internet service,No internet service
Bank transfer (automatic),80.55,DSL,No,No
Bank transfer (automatic),81.5,Fiber optic,Yes,No
Mailed check,20.9,No,No internet service,No internet service
Bank transfer (automatic),106.1,Fiber optic,Yes,Yes
Electronic check,91.7,Fiber optic,No,No
Electronic check,67.25,DSL,No,Yes
Credit card (automatic),95.6,Fiber optic,Yes,No
Mailed check,20.35,No,No internet service,No internet service
Bank transfer (automatic),45.05,DSL,No,Yes
Electronic check,74.95,Fiber optic,No,No
Mailed check,34.65,DSL,No,Yes
Electronic check,69.35,Fiber optic,No,No
Electronic check,95.35,Fiber optic,No,No
Electronic check,81.55,Fiber optic,Yes,No
Bank transfer (automatic),75.4,DSL,Yes,No
Credit card (automatic),67.8,DSL,Yes,No
Electronic check,111.4,Fiber optic,Yes,No
Electronic check,46.3,DSL,No,No
Bank transfer (automatic),20.4,No,No internet service,No internet service
Mailed check,20.05,No,No internet service,No internet service
Electronic check,45.0,DSL,No,No
Electronic check,96.1,Fiber optic,Yes,Yes
Mailed check,19.65,No,No internet service,No internet service
Electronic check,99.5,Fiber optic,Yes,No
Bank transfer (automatic),60.65,DSL,Yes,No
Bank transfer (automatic),98.6,Fiber optic,Yes,No
Mailed check,59.5,DSL,No,No
Electronic check,80.45,Fiber optic,No,No
Bank transfer (automatic),71.7,DSL,Yes,No
Mailed check,36.0,DSL,No,No
Bank transfer (automatic),65.2,DSL,No,Yes
Credit card (automatic),48.95,DSL,No,No
Bank transfer (automatic),53.5,DSL,Yes,No
